,순번,분류1,분류2,주요등급,상황1,상황2,특약사항,상황상세,목적,목차를위한텍스트
,32,공통,대리계약,A,위임장 첨부,소유자를 대리하여 대리인이 계약을 체결,"본 계약은 대리인'000'이 소유자'000'의 인감증명서, 인감도장, 위임장을 첨부하여 대리계약을 체결한다.",계약 목적물에 소유권에 영향을 주는 권리가 설정되어 있는 경우.,계약 당사자의 협의된 내용을 명확하게 하기 위함.,공통대리계약위임장 첨부
,33,공통,대리계약,B,공유자 계약,목적물을 2인이상이 공유,"본 계약은 공동소유자 물건으로 위임장을 첨부한 1/2 소유자인 '갑'과 계약하며, 1/2소유권자 '을'의 승낙 하에 계약한다.  (계약, 중도, 잔)금은 1/2씩 공동소유권자 계좌로 입금한다.",계약 목적물에 소유권 외 영향을 주는 권리가 설정되어 있는 경우.,계약 당사자의 협의된 내용을 명확하게 하기 위함.,공통대리계약공유자 계약
,34,공통,대리계약,B,전화확인,대리계약에서 대리인이 대리계약을 위한 일체의 서류를 준비 못함,"본계약은 소유자'000'과 전화 통화 후, 대리인'000'과 계약을 체결하되, 계약금은 소유자'000'의 00은행00계좌로 입금하기로 한다.",계약의 목적물에 옵션 또는 인테리어 등을 계약의 당사자가 다르게 인지하고 있을 경우.,계약당사자간의 불필요한 분쟁을 예방하기 위함.,공통대리계약전화확인
,35,공통,대리계약,C,공인중개사 보관,소유자의 추인서를 받기로 함,"본계약은 대리인'000'이 소유자'000'을 대리하여 계약을 체결하되, 소유자'000'이 추인할 때까지 계약금은 공인중개사법 제31조(계약금등의 반환채무이행의 보장)에 따라 공인중개사가 보관한다.",계약의 당사자에게 공인중개사가 중개사의 의무를 충실하게 이행하였음을 명시할 경우.,공인중개사법 제25조(중개대상물의 확인ㆍ설명) 의무.,공통대리계약공인중개사 보관
,36,공통,대리계약,C,공인중개사 보관,"대리계약을 체결하고 계약, 중도, 잔금을 공인중개사가 예치","본 계약은 소유자를 대리하여 대리인이 계약을 체결하고, 거래의 안전을 보장하기 위하여 공인중개사가 공인중개사법 제 31조(계약금등의 반호나채무이행의 보장)에 따라 (계약, 중도, 잔)금을 보관하기로 하고, 공인중개사는 이에따른 관계증서를 제공하기로 한다.","특약사항 및 확인설명서에 한번 더 확인이 필요하거나, 중요한 사항이 포함학고 있을 경우.",계약의 당사자에게 계약내용을 재확인하기 위함.,공통대리계약공인중개사 보관
,37,공통,신탁,B,수탁자 확인,계약 목적물이 신탁회사에 신탁,"위탁자는 수탁자의 허가를 받지못하여 본 계약이 해지될 경우, 이에따른 손해에 대하여 배상하기로 한다","계약 체결 후, 소유자가 소유권 외 영향을 줄 수 있는 행위에 예방이 필요한 경우.",계약의 안전성을 재고하기 위함.,공통신탁수탁자 확인
,38,공통,대리계약,C,추인,대리계약을 체결하고 정당한 대리권 확인과 대금지급을 동시이행관계로 진행,"본 계약은 대리인'000'이 소유자'000'을 대리하여 계약을 체결하되, 매수(임차)인은 대리인이 소유자의 추인 또는 대리계약의 일체 서류를 추완할 때 계약금을 입금하기로 한다.","매도인이 애초에 지급한 선수관리비는 반환받고, 매도인과 계약했던 임차인이 부담했던 장기수선충당금은 매도인이 반환해야 매수인이 본인이 부담하지 않아도 될 장기수선충당금을 부담하는 문제가 발생하지 않는다",갭투자방식의 매매에서 선수관리비와 임차인이 부담했던 장기수선충단금의 정리가 필요한 경우,공통대리계약추인
,39,공통,채권,A,전부말소,"등기전부증명서상 채권최고액이 과다하게 설정되었다고 판단

잔금 지급금액으로 채권최고액(근저당권설정) 말소가 가능할 경우",매수(임차)인은 등기전부증명서상 00은행 채권최고액 00원정이 설정되어 있음을 인지하고 계약을 체결한다. 잔금 지급 시 은행에 동행하여 상환 말소하기로 한다.,계약금반환을 담보할 필요가 있는 경우,해제사유를 명확히 하여 분쟁을 최소화 할 목적 및 임대인의 계약금반환 명분,공통채권전부말소
,40,공통,채권,A,전부말소,"계약 목적물에 소유권에 영향을 주는 권리가 설정
(갑구)","매도(임대)인은 본 계약의 목적물의 등기사항전부증명서상 갑구의 권리(압류,가압류,가등기,가처분 등)를 (계약, 중도, 잔)금 지급 시까지 말소 시키기로 한다.","계약 목적물에 임대인이 전입신고 되어, 임차인이 전입신고를 못하는 경우.",계약당사자간의 불필요한 분쟁을 예방하기 위함.,공통채권전부말소
,41,공통,신탁,C,신탁원부,계약 목적물이 신탁회사에 신탁,"계약의 당사자는 본 계약 체결 시, 중개사가 설명한 신탁원부를 확인하고 계약을 체결한다.",신축아파트는 하자조사 및 보수가 수시로 이루어지기 때문에 임차인이 협조적이지 않다면 하자보수조치를 받지 못한 임대인에게 손실이 발생할 수 있다,임차인의 비협조 방지,공통신탁신탁원부
,42,매매,대출,C,매수인 부담,계약 목적물에 대출이 설정되어 해당 대출을 매수인이 승계 또는 말소를 결정,"매수인은 대출금을 중도금 지급전까지 말소와 승계를 결정하여 매도인에게 통보한다.
단, 대출금액의 가감 및 승계 적격여부는 매수인 책임이며 대출말소비용은 매도인이 부담하고 대출승계비용은 매수인이 부담한다.",,,
,43,매매,리모델링,A,리모델링 금액협의,계약의 목적물에 옵션 또는 인테리어 등이 매매대금에 포함,"기본 시설물 외 설치한 옵션(붙박이장, 샹들리에, 도어록, 비데 등)은 매매대금에 포함한다.",,,
,44,매매,면적,B,매수인 책임,건물의 면적과 실측된 면적이 다름,"대지, 건물면적은 권리면적(공부상)기준으로 한 매매이며, 향후 실측면적과 차이가 있더라도 매수인 및 매도인은 일체의 이의를 제기하지 않기로 한다.",,,
,45,매매,무허가건축물,C,비용부담 매도인/매수인,계약의 목적물이 무허가 건물,"본 매매건물은 무허가 건물로서 해당관청 무허가 건물대장에 등재되어 있음을 확인하고 계약하며, 건축물 점유에 따른 부과비용등은 해당잔금일을 기준으로 정산한다.",,,
,46,매매,복합계약,B,매매 후 임대,매도인이 매매계약 후 매수인과 임대차계약을 체결,"매수인은 본 매매계약의 잔금과 동시에 매도인과 전(월)세 계약을 체결한다. 임대조건은 전(월)세 보증금00원, 계약기간 2년으로 체결한다.",,,
,47,매매,복합계약,B,매매 후 임대,매도인이 매매계약 후 매수인과 임대차계약을 체결하며 임대보증금을 잔금에서 갈음,매수인은 본 매매계약의 잔금과 동시에 매도인과 전(월)세 계약을 체결한다.잔금10원은 잔금일에 5원을 입금하고 나머지 5원은 임대보증금으로 갈음한다.,,,
,48,매매,복합계약,B,임대 중 매매,계약의 목적물에 거주하고 있던 임차인이 임대인과 매매계약을 체결,"본 계약은 임차인이 현재 거주하고 있는 임대목적물을 임대인으로 부터 매매하는 계약이며, 임차인이 임대인에게 지급한 임대보증금00원은 (계약, 중도, 잔)금으로 갈음 하고, 임대보증금 반환의무는 소멸시키기로 한다.",,,
,49,매매,분양권,B,매도인 부담,"분양권을 매수,매도",매도인이 신청한 옵션품목은 매수자가 일괄 인수하고 매매대금과는 별도로 매도인이 납부한 금액을 지금하기로 한다.,,,
,50,매매,분양권,B,분양권 총 거래금액 산출시,"분양권을 매수, 매도
프리미엄이 포함한 분양권의 총금액
산출방법이 궁금할 경우",총 매매금액은 분양가 00원 + 프리미엄 00원 + 확장비 00원 포함된 총 00원임.,,,
,51,매매,분양권,B,"분양권 거래시 매수인이 매도인에게 지급할 총 금액 산출시
","분양권을 매수, 매도
분양권 상태에서 기납부금액이 
정확히 얼마인지 인지시킬경우",정산지불금 = 매수인은 계약금(0%) 00원 + 확장비(0%)00원 + 프리미엄 00원 총 00원 잔금일에 지불조건임.,,,
,52,매매,분양권,B,중도금대출,"분양권을 매수, 매도
중도금 대출 이자가 후불제일 경우
이자부분을 매도자 or 매수자 누가
부담할지 정하는 경우","00년00월00일까지 중도금 확정이자 발생분 00원은 매도자 부담조건이며
그 이후 잔금일까지 발생하는 중도금 이자분에 대해서는 매수자 부담조건임",,,
,53,매매,분양권,B,중도금대출,"분양권을 매수, 매도
원분양권자가 중도금 대출을 받았는데
매수인이 현금으로 지불하여 중도금
대출을 원하지 않을경우",중도금 0회 발생분 총00원에 대해서는 잔금일에 매도자 말소조건임,,,
,54,매매,분양권,B,분양권 거래시 인지세,"분양권을 매수, 매도",잔금시 인지세는 매도인이 매수인에게 지불한다. ,,,
,55,매매,허가,A,특수관계(법인/외국인) 거래시 허가여부 확인,매수인이 외국인 / 법인일 경우,매수인(외국인 or 법인)이 관할 관청의 매수가능(토지거래허가)를 득하지 못할경우 본계약을 무효로 하며 지급된 계약금은 조건없이 반환하기로 한다. ,,,
,56,매매,분양권,B,지역주택조합 분양권,"지역주택조합 분양권 매수, 매도","양 당사자는 본 매매금액에 동의하며 매수인은 매도인의 모든 권리와 의무, 계약사항을 그대로 승계함에 동의한다.",,,
,57,매매,분양권,B,지역주택조합 분양권,"지역주택조합 분양권 매수, 매도
중도금대출이 있을경우","중도금대출금액(00원) + 이자전액(변동금리, 이자후불제)을 매수인이 승계한다.",,,
,58,매매,분양권,B,지역주택조합 분양권,"지역주택조합 분양권 매수, 매도
매수인 조합원 자격 여부","매수인의 조합원자격여부는 매수인책임으로 하고, 부적격시에 계약금은 매도인에게 귀속된다.",,,
,59,매매,분양권,B,지역주택조합 분양권,"지역주택조합 분양권 매수, 매도
추가분담금, 이익금등 추가 금액 발생여부","본 물건은 조합원아파트의 특성상 양당사자에게 토지취득세가 부과되며 매수인에게는 신탁등기비(00원)가 있다
매수인은 입주시 이익금이나 추가분담금이 발생할 수 있음과 등기시 신축취득세가 적용됨을 알고 계약한다.",,,
,60,매매,수리,B,매도인수리,계약의 목적물에 담보책임에 대하여 명확하게 기입,"본 계약의 목적물에 중대한 하자가 있을 경우, 민법 제580조(매도인의 하자담보책임) 및 575조(제한물권있는 경우와 매도인의 담보책임) 제1항에 의거 매매 후 6개월 내에 발생하는 중대한 하자부분은 매도인이 책임진다.",,,
,61,매매,수리,B,매수인수리,계약의 목적물에 담보책임에 대하여 명확하게 기입,"매수인은 건물에 대한 하자부분에 대해서 하자 보증서대로 이행하기로 하며, 추후, 이를 문제로 매도인에게 이의를 제기하지 않는다.",,,
,62,매매,신축,A,등기있음,계약 목적물이 신축으로 미등기 건물,"본 물건은 현재 신축중인 건축물로서 매도자가 보존등기 후 잔금과 동시에 명의 이전하며, 선 임대차계약 및 대출금 000원 정은 잔금일 기준 매수자가 승계받기로 한다. ",,,
,63,매매,신탁,C,수탁자 입금,계약 목적물이 신탁회사에 신탁,"본 매매계약은 00신탁회사의 신탁관리 물건으로, 신탁관리회사의 승낙 하에 매매하며 신탁관리 계좌(00은행,00)로 (계약, 중도, 잔)금을 입금하기로 한다.",,,
,64,매매,유치권,C,매도인 부담,매도인이 지급해야할 금액을 제대로 지급하지 않아 하자가 일어날 경우.,본 물건에 인테리어 시설 등으로 유치권 주장이 있다면 매도인이 책임지고 잔금 시 정리하여 주기로 하며 정리되지 않았을 때에는 잔금에서 공제한다.,,,
,65,매매,인테리어,A,매수인 부담,계약금 지금 후 잔금이전 매수인이 인테리어공사,중도금을 지급하고 매도인은 매수인의 인테리어공사에 협조하기로 하며 관리비는 매수인이 부담하기로 한다.,,,
,66,매매,일정협의,C,중도금 협의,변칙적인 중도금 이행으로 매도인의 정상적인 해제권 행사가 방해될 것이 염려,매수자는 중도금을 00년00월00일 지급하며 날짜 전에 지급하지 않기로 한다. 날짜 전 지급한 중도금은 무효로 한다. ,,,
,67,매매,임대차 승계,B,매도인 부담,계약의 목적물에 임차인이 거주하고있어 이를 매도자가 책임지기로 함,"매도자는 잔금 시 계약의 목적물에 현 임차인의 퇴거를 책임지기로 하고, 이행하지 않았을 때에는 손해배상금으로 00원 정을 잔금에서 제외하고 지급한다.",,,
,68,매매,임대차 승계,B,매수인 승계,"계약의 목적물을 매매할 때, 임차인을 매수인이 승계","본 계약은 매수인이 매도인과 임차인의 임대차 계약을 승계하기로 한다. 따라서, 매매잔금10원 중 임대보증금5원을 제외하고 5원을 지급한다.",,,
,69,매매,조건부계약취소,C,채무불이행,매수인의 채무불이행이 예상될 경우,"매수인의 채무불이행 시, 매수인이 매도인에게 지급한 00원은 반환하지 않으며 계약은 해제된 것으로 본다.",,,
,70,매매,채권,A,말소안함,"계약 체결 후, 소유자가 소유권 외 영향을 줄 수 있는 행위에 예방","본 계약 목적물은 계약 체결 시, 근저당권이 설정되어 있지 않은 상태이며 매도(임대)인은 잔금일까지 현상태를 유지하기로 한다.",,,
,71,매매,채권,B,말소안함,"계약 체결 후, 소유자가 소유권에 영향을 줄 수 있는 행위에 예방","계약체결일 이후 소유권에 대한 제한사유(가압류, 가처분 등)가 발생하면 본 계약은 무효로 하고 매도(임대)인은 매수(임차)인에게 계약금의 배액을 위약금으로 배상하기로 한다.",,,
,72,매매,채권,B,전부말소,계약 목적물이 가압류가 되어있어 잔급과 가압류를 동시이행,가압류말소와 잔금지급은 동시이행하기로 한다. 말소서류는 매수인이 선정한 법무사에게 제공하기로 한다.,,,
,73,매매,채권,B,전부말소,계약 목적물에 소유권에 영향을 주는 권리가 설정,본 물건의 등기사항 전부증명서에 설정된 개인채무 권리자 박00는 본 매매계약 시 소유권자와 동행참석해 말소수임 법무사에 맡겨 정리하기로 위임한다.,,,
,74,매매,현상태,B,현상태 인지,매도인이 부동산 내부의 인테리어 또는 옵션을 일체 넘기기로 하였으나 분쟁이 예상 될 경우,"본 계약은 현 시설상태로 매매하고, 특약에서 별도로 정한 내용을 제외하고 시설물 일체를 잔금일에 명도하기로 한다.",,,
,75,매매,확인설명,C,주변에 대한 설명,계약의 목적물이 주거환경재선사업구역에 위치,매수인은 본 계약의 목적물이 00재개발(주거환경재선사업)구역에 위치하여 있음을 인지하고 향후 일정 및 변경사항을 충분히 확인하고 계약을 체결한다.,,,
,76,임대,경매,C,매수인 책임,선순위권리가 존재하고 경매와 공매가 진행될 경우 임대차보증금 전액회수가 어려운 경우,임차인은 위 부동산에 존재하는 선순위권리로 인하여 경매 등이 실행될 경우 임차보증금의 전부 또는 일부를 반환받지 못할 수도 있음을 확인한다.,,,
,77,임대,관리비,C,관리비규정,아파트의 관리규약,관리비는 00아파트 자체 관리비 규정에 따른다.,,,
,78,임대,권리관계,A,,"임대인의 권리사항에 
변동이 있을경우",임대인은 매매나 담보제공을 할 경우에는 사전에 임차인에게 통보해주기로 한다.,,,
,79,임대,대리계약,B,공유자 계약,"목적물을 2인이상이 공유하고 있으나, 1인이 과반이상의 지분을 보유","본 계약은 공동소유자 물건이며, 공유지분의 과반이상을 소유한 '갑'과 임대차계약을 체결한다. 단, 타 공유지분자들이 이의를 제기할 경우, 모든책임은 소유자 '갑'에게 있다.",,,
,80,임대,리모델링,B,리모델링 철거협의,"임대인에게 임차인이 인테리어, 옵션등을 요구","임대인은 잔금시까지 00을 (철거,수리)하기로 한다.",,,
,81,임대,리모델링,B,리모델링 철거협의,"임차인이 임대 목적물에 인테리어, 옵션등을 설치",임대인은 임차인의 00설치에 동의한다. 00은 계약 만료 시 임차인이 책임지고 원상복구한다.,,,
,82,임대,반려동물,B,계약해지,임대인이 애완동물 사육을 금지,애완동물 사육을 금지한다. 위반시 퇴거조치에 어떠한 민형사상 이의제기도 할 수 없다. ,,,
,83,임대,반려동물,B,손해배상,임대인이 애완동물 사육을 금지,"애완동물 사육으로 인한 도배,바닥,각종 시설물의 훼손시 임차인은 원상복구하기로 하고 임차인은 퇴실 시 특수청소비 00원정을 부담키로 한다. ",,,
,84,임대,분할지급,C,소유자 분할지급,보증금과 월차임을 분할하여 입금,"본 계약의 목적물은 소유자가 00명이므로 보증금은 '갑'에게 입금하고, 월차임은 '을'에게 입금하기로 한다.",,,
,85,임대,수리,A,임대인 임차인 협의,신축아파트는 하자조사 및 보수가 수시로 이루어지기 때문에 임차인이 협조적이지 않다면 하자보수조치를 받지 못한 임대인에게 손실이 발생,임차인은 상기물건의 하자보수처리 등을 적극적으로 협조하기로 한다.,,,
,86,임대,신축,A,등기없음,계약 목적물이 신축으로 준공검사가 완료되지 않음,임차인은 본 계약의 목적물이 신축중인 아파트임을 인지하고 사용승인일  이후 입주하기로 한다.,,,
,87,임대,신축,A,등기없음,준공 전 임대차계약을 하고 사용,"본 임대차계약은 양 당사자가 분양계약서 원본 및 시행사,시공사,대출은행 확인을 하고 가사용 승인상태에서 계약 서명날인한다.",,,
,88,임대,신축,,등기없음,준공 전 임대차계약을 하고 사용,"잔금지급일은 입주지정일을 기준으로 정하며, 준공일 등에 변동이 있을 경우 잔금지급일과 입주지정일은 변경될 수 있다.",,,
